slope,aspect,elevation,ndvi,humidity,label
13.248516,237.8017,444.0,0.67570204,71.5569,1
2.062221,169.5491,380.0,0.6830179,71.23447,1
0.63170516,117.30999,344.0,0.60543305,71.23447,1
2.1579823,280.83298,350.0,0.65268934,71.23447,1
3.42016,324.34915,378.0,0.73640627,71.23447,1
3.8233013,282.23666,355.0,0.6867491,71.05111,1
6.908526,284.01367,403.0,0.75353116,71.05111,1
7.818694,5.914903,463.0,0.68555355,71.05111,1
9.493484,264.79315,407.0,0.73913366,71.05111,1
2.9030664,234.6497,517.0,0.64505494,71.05111,1
13.213197,218.7444,562.0,0.73080194,71.17931,1
4.8271,244.45009,388.0,0.7054715,71.05111,1
9.377054,210.9376,434.0,0.6313512,71.05111,1
1.2143359,292.4474,358.0,0.5989442,71.05111,1
1.5407357,230.24927,371.0,0.69398093,71.05111,1
11.823855,235.23048,422.0,0.75701445,71.17931,1
2.5859258,189.71156,364.0,0.6938493,71.17931,1
9.670985,249.85812,377.0,0.72950774,71.17931,1
1.1886137,317.00714,380.0,0.69054794,71.05111,1
0.512137,256.91644,393.0,0.65071446,71.05111,1
0.19584568,287.2168,388.0,0.73837703,71.05111,1
5.5993004,248.82657,396.0,0.6817614,71.05111,1
0.46373534,180.0,382.0,0.73383415,71.05111,1
1.73823,158.98471,370.0,0.71764785,71.05111,1
1.6274552,175.60637,372.0,0.6899854,71.05111,1
2.8165045,216.67503,368.0,0.689994,71.05111,1
10.055419,176.83359,414.0,0.75951517,71.17931,1
11.961045,240.84773,459.0,0.7698395,71.17931,1
18.444391,238.75253,575.0,0.76884544,71.17931,1
22.162489,123.80567,368.0,0.57484114,72.52778,1
0.8250676,65.069214,365.0,0.5908888,71.05111,1
0.49881244,90.0,360.0,0.52481496,71.05111,1
0.99321884,172.78777,357.0,0.55694515,71.05111,1
9.441614,241.2732,406.0,0.73801976,71.17931,1
14.240178,239.05138,507.0,0.7535763,71.17931,1
14.853539,191.35942,606.0,0.7667582,71.17931,1
8.915103,215.64333,446.0,0.7340656,71.17931,1
17.8071,215.64333,511.0,0.64863914,72.52778,1
2.2527127,239.0435,371.0,0.6267927,71.05111,1
11.297302,245.46257,463.0,0.6831609,72.52778,1
2.1447265,178.33495,361.0,0.7562161,71.05111,1
1.0838921,148.82631,355.0,0.731557,71.05111,1
0.45155886,75.12319,352.0,0.60008234,71.05111,1
1.3726041,92.41999,818.0,0.7394996,72.52778,1
20.621687,116.67918,627.0,0.58468986,72.52778,1
13.000516,111.05933,439.0,0.66444784,72.52778,1
6.816599,211.25735,429.0,0.693697,72.52778,1
1.1741893,189.16438,346.0,0.7038738,71.05111,1
9.817113,181.08096,604.0,0.77510387,71.17931,1
7.708116,121.55043,533.0,0.7557021,71.95203,1
8.028563,238.90553,498.0,0.7271422,71.95203,1
5.178834,47.08363,375.0,0.7374019,72.52778,1
13.679634,217.44524,468.0,0.64173937,72.52778,1
22.806232,185.04767,511.0,0.6068079,72.52778,1
16.313234,148.63344,502.0,0.6403386,72.52778,1
16.358158,224.47935,485.0,0.6777119,72.52778,1
5.9592743,146.46378,530.0,0.74969584,71.95203,1
4.455402,231.4456,462.0,0.73748595,71.95203,1
17.32388,258.58838,586.0,0.7125161,71.95203,1
8.812317,98.25477,394.0,0.68092895,72.52778,1
